Search_method Problem Max_evals Run Score
two_point_uniform_crossover knapPI_13_20_1000_4 10000 13 907N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 14 800N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 15 907N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 16 880N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 17 907N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 18 880N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 19 907N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 20 907N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 21 880N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 22 836N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 23 907N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 24 907N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 0 2267N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 1 2582N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 2 2724N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 3 2893N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 4 2413N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 5 2557N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 6 2731N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 7 2395N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 8 2651N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 9 2485N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 10 2435N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 11 2724N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 12 2502N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 13 2593N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 14 2597N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 15 2549N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 16 2671N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 17 2864N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 18 2682N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 19 2467N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 20 2453N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 21 2471N
two_point_uniform_crossover knapPI_16_20_1000_4 10000 22 2366N
